Project Number,MH Name,County,Street City State Zip,Lots,Approval Date,Primary Status,Owner Name
PRMZ001305,WHISPERING PINES MH VILLAGE,Pinellas,"701 8TH AVE NW, LARGO, FL 33770-1164",68,09/16/1996,Approved,
PRMZ001303,RICHMAR MOBILE HOME PARK,Pinellas,"10675 SEMINOLE BLVD, LARGO, FL 33778",39,01/24/2023,Approved,
PRMZ001721,PARK ROYALE,Pinellas,"10611 66TH ST N, PINELLAS PARK, FL 33782-2339",309,10/24/2024,Approved,
PRMZ000181,COUNTRY PARK MOBILE HOME PARK,Pinellas,"2331 BELLEAIR RD, CLEARWATER, FL 33764",17,11/05/2021,Approved,
PRMZ000557,ISLAND IN THE SUN,Pinellas,"100 HAMPTON RD, CLEARWATER, FL 33759",187,09/15/2025,Approved,
PRMZ002976,SILK OAK LODGE,Pinellas,"28488 US HWY 19 N, CLEARWATER, FL 34621",182,07/05/2023,Approved,
PRMZ001776,REGENCY HEIGHTS,Pinellas,"2550 SR 580 E, CLEARWATER, FL 33761",392,05/28/2026,Approved,
PRMZ001778,SATELLITE BAY COMMUNITY,Pinellas,"6250 ROOSEVELT BLVD, CLEARWATER, FL 33760",83,08/05/2026,Approved,
PR9828,COURTESY MOBILE HOME PARK,Pinellas,"2517 50TH AVE N, ST. PETERSBURG, FL 33714",0,11/13/2018,Approved,COURTESY MHP LLC
PR9848,PINE LANE MOBILE HOME PARK,Pinellas,"4189 78TH ST N, ST. PETERSBURG, FL 33709",32,01/04/2022,Approved,PARK LANE PARTNERS LLC
PR9850,PALM SPRINGS ESTATES,Pinellas,"40110 US HWY 19 N, TARPON SPRINGS, FL 34689",44,02/04/2026,Approved,
PR9852,ST PETE SUN ESTATES 2,Pinellas,"2600 58TH AVE N, ST. PETERSBURG, FL 33714",41,07/01/2022,Approved,ST PETE SUN ESTATES 2 LLC
PR9861,PATIO VILLAGE MOBILE HOME PARK,Pinellas,"6135 66TH ST N, ST. PETERSBURG, FL 33709",73,05/03/2023,Approved,
